,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,A1_Expected_Annual_Damage,A1_Dike_Investment_Costs,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Dike_Investment_Costs,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Dike_Investment_Costs,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Dike_Investment_Costs,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Dike_Investment_Costs,A5_Expected_Number_of_Deaths,RfR Total Costs,Total_Expected_Annual_Damage,Total_Dike_Investment_Costs,Total_Expected_Number_of_Deaths
96,119,141.39747323345858,1.0,0.2097295418143482,174.6529172833748,10.0,0.3381319016196637,105.18360214953678,1.5,0.3772390278014863,92.00331865022652,10.0,0.4470702327937286,172.49224664854583,10.0,0.7074661676687023,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,Policy 1,dikesnet,2998102116.576622,0,1.7445698790451187,21712218.222732294,0,0.0173633246105106,85729622.70890437,0,0.1319434498937767,2287532.51388776,0,0.0009243647368492,0.0,0,0.0,0.0,3107831490.022146,0,1.894801018286256
371,99,125.13844395058396,10.0,0.2436476333883789,35.25911928521716,10.0,0.5418106251997157,95.26107123031257,1.0,0.1999988072194878,100.48034801272397,1.0,0.2777663322461938,204.30568390517348,1.5,0.0715203277662165,3.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,Policy 1,dikesnet,2626739841.066371,0,1.7432777462918545,0.0,0,0.0,428153399.2892309,0,0.7267166993031839,0.0,0,0.0,40979470.54713525,0,0.0349670408424653,0.0,3095872710.902737,0,2.5049614864375034
804,111,140.05657157148437,10.0,0.0236023879670826,108.17365097977628,1.5,0.2028728508092583,263.6725788905535,1.0,0.6528496850287953,232.77520700060796,10.0,0.103310289267564,40.47831724019047,1.5,0.7273492718270993,3.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1804,Policy 1,dikesnet,3024368512.3888884,0,1.7028521891537665,43660123.49216396,0,0.0333504477333039,0.0,0,0.0,21819174.50737226,0,0.0077635805797628,0.0,0,0.0,0.0,3089847810.388425,0,1.7439662174668331
817,63,75.59273702832044,1.0,0.2264023884283576,128.13512426286013,1.0,0.3659426418100632,79.2899480667322,1.5,0.3981296003187142,255.7600231474456,1.5,0.0315336641270938,311.52912586392426,1.0,0.8868511430133346,2.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1817,Policy 1,dikesnet,2778037041.7001557,0,1.7172713532551702,54170491.84584006,0,0.0468315375281092,160789787.1125589,0,0.2646624462095646,90969258.00332588,0,0.0333358785500435,0.0,0,0.0,0.0,3083966578.66188,0,2.062101215542888
26,25,210.0363153343356,1.5,0.1095664992422654,327.58349387848284,1.5,0.8982530502418358,39.85067631861452,1.5,0.0858775493953719,274.2695172988965,10.0,0.0524804555248684,224.5118385930556,1.5,0.0787261107051256,1.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026,Policy 1,dikesnet,2666885416.4198565,0,1.7316954965493294,0.0,0,0.0,408219942.1149298,0,0.654344446585675,2273742.891697465,0,0.0008357789072728,0.0,0,0.0,0.0,3077379101.426484,0,2.3868757220422774
556,59,264.2805478737549,1.5,0.0937634313292052,146.55002024552908,1.0,0.1680773112442075,78.29847820390191,10.0,0.5573512059167496,315.63063207566915,1.0,0.5591824274801327,180.58453148911397,1.5,0.7494712568870044,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1556,Policy 1,dikesnet,3075496425.401145,0,1.7390630099875852,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3075496425.401145,0,1.7390630099875852
883,8,33.926103635583075,10.0,0.1168262663364139,150.38662739055064,1.5,0.5073631365836915,213.621298472632,10.0,0.4322630039770159,114.33007826835012,10.0,0.0302660198537118,216.65962715310891,1.0,0.7478308946718594,4.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1883,Policy 1,dikesnet,2656082432.5690527,0,1.7229004304292437,41797761.090739205,0,0.0389719275024038,240697452.3699453,0,0.4192643050423728,124032323.2169856,0,0.0490634864948904,0.0,0,0.0,0.0,3062609969.246723,0,2.2302001494689105
28,32,280.19644166080195,1.0,0.0314911366261121,235.07023956152125,10.0,0.5129560523845291,155.80956315682008,1.5,0.363043053080719,265.9062735917022,10.0,0.597004844191925,244.19443238361535,10.0,0.1349917035253333,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,Policy 1,dikesnet,3055448886.298086,0,1.724861696502677,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3055448886.298086,0,1.724861696502677
761,53,305.0296287378592,1.5,0.0220594270914863,140.53935117455725,10.0,0.8583569243794732,277.3644293778742,1.0,0.6496590586199482,275.98804646458655,10.0,0.772730161202177,229.80061940182048,10.0,0.9121839686295868,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1761,Policy 1,dikesnet,3049812019.514804,0,1.720869075877432,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3049812019.514804,0,1.720869075877432
479,42,123.18043633831051,1.5,0.0874023152789311,141.70457986694532,1.5,0.8814719300530613,129.1156300996984,1.0,0.110295941735553,160.78343304769666,1.0,0.0223747129083152,151.7295950286837,10.0,0.7863205432934537,1.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479,Policy 1,dikesnet,2345077728.669156,0,1.7240726069147263,0.0,0,0.0,674710201.7120763,0,1.2405842772385989,17560100.18047441,0,0.0058803948786933,0.0,0,0.0,0.0,3037348030.561706,0,2.9705372790320186
