0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A3ExpectedAnnualDamage,A3ExpectedNumberofDeaths,A3DikeInvestmentCosts,A5ExpectedAnnualDamage,A5ExpectedNumberofDeaths,A5DikeInvestmentCosts,Total_Dike_Investment,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths,Policy Name,Urban Damages Ratio,Urban Deaths Ratio,Urban Damages Ratio Exceeded,Urban Deaths Ratio Exceeded
0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,2,3,7,1,3,3,5,4,3,6,3,3,1,2,0,0.0,0.0,694919738.8728082,109315751.97166257,0.0742624549981473,105495938.72046074,4498543787.716255,188577955.4396871,0.1397000198326682,s4842_p165,0.5796846811536518,0.5315851428446353,False,False
1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,3,4,8,1,4,6,8,6,2,7,4,7,2,5,3,2,0.0,0.0,1663268595.6027958,0.0,0.0,649606183.4359621,16236373238.986498,5359781.40811126,0.0005856338118679,s4842_p66,0.0,0.0,False,False
1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,3,4,3,4,2,5,0,7,1,0,0,6,4,9,3,1,0.0,0.0,435650411.4813284,0.0,0.0,1803415833.6806948,4653307894.823982,47504355.40619937,0.0049066753384098,s4842_p132,0.0,0.0,False,False
1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,4,6,1,2,5,4,5,3,7,1,10,0,0,3,0.0,0.0,707689473.8872488,123566691.3227043,0.0810515117517861,90999229.1305994,6848866431.351569,197680468.3267316,0.1408734285938303,s4842_p190,0.625082955178303,0.5753498907553091,False,False
0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,5,7,5,1,1,1,0,7,2,4,2,5,3,1,0,390289073.40314966,0.6069988768604517,485621587.43911296,0.0,0.0,151711207.5920318,7198209589.903971,527865939.4737469,0.7115803941086419,s4842_p187,0.7393715794435349,0.8530292316735429,False,False
1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,2,3,4,1,4,6,0,2,1,7,1,5,0,3,0,304424211.85643,0.459880137761915,84513741.32644606,1098303.0161118102,0.0007325849704152,90999229.1305994,3581422239.556882,365208367.7896304,0.5106521514262414,s4842_p197,0.8365704124515865,0.9020087772975164,False,False
0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,2,6,5,8,1,4,0,5,2,0,4,5,6,0,3,4,0.0,0.0,255765802.7164687,10155334.558789872,0.0010216898717425,324001732.4827762,13839549045.59852,166471200.00062466,0.0204113701662744,s4842_p91,0.0610035523186699,0.0500549381751271,False,False
0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,4,3,2,6,6,6,5,4,7,2,0,3,0,0.0,0.0,2010106202.7963448,30412658.78347706,0.0089003139420703,90999229.1305994,5039867048.213806,43958591.46206542,0.0132065255472454,s4842_p151,0.6918478907524146,0.6739330424364882,False,False
1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,6,3,7,4,9,4,5,0,1,7,8,6,3,3,6,3081440.518562916,0.0014502469466174,220055245.752236,423402.79455414455,0.0001318652946747,1140897157.0475736,17487522258.187305,8836264.575292308,0.0033204952490615,s4842_p82,0.3966430931592062,0.4764687562011317,False,False
0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,3,7,4,5,0,5,6,5,2,0,5,5,5,2,1,2,3241232.7621720503,0.0005258445320571,255765802.7164687,157421691.61620522,0.0128466836186997,205801211.7865233,7733213245.059841,449997678.7242764,0.0417748105625573,s4842_p141,0.3570305625438992,0.3201098453990974,False,False
